name,transcription
Luz/frase1.wav,Avocado is delicious.
Luz/frase2.wav,Titanic was tragic.
Luz/frase3.wav,Humor is essential.
Luz/frase4.wav,Emotions are intense.
Luz/frase5.wav,Brain is complex.
Luz/frase6.wav,I like red wine.
Luz/frase7.wav,Recruitment is difficult.
Luz/frase8.wav,I went to the bank today.
Luz/frase9.wav,They increased my salary.
Luz/frase10.wav,Our flight was delayed.
Luz/frase11.wav,Avocado is ripe.
Luz/frase12.wav,Titanic sank quickly.
Luz/frase13.wav,Humor relieves stress.
Luz/frase14.wav,Emotions guide us.
Luz/frase15.wav,Brain processes information.
Luz/frase16.wav,Wine is refined.
Luz/frase17.wav,Recruitment needs strategy.
Luz/frase18.wav,Bank is closed.
Luz/frase19.wav,My salary is fair.
Luz/frase20.wav,The flight was long.
Luz/frase21.wav,Avocado has healthy fat.
Luz/frase22.wav,Titanic was luxurious.
Luz/frase23.wav,Humor improves mood.
Luz/frase24.wav,Emotions are natural.
Luz/frase25.wav,Brain controls the body.
Luz/frase26.wav,Wine ferments.
Luz/frase27.wav,Recruitment requires time.
Luz/frase28.wav,I have an account at the bank.
Luz/frase29.wav,My salary increased this month.
Luz/frase30.wav,The flight leaves early.
Luz/frase31.wav,Avocado is versatile.
Luz/frase32.wav,Titanic had many passengers.
Luz/frase33.wav,Humor is contagious.
Luz/frase34.wav,Emotions are expressed.
Luz/frase35.wav,Brain needs rest.
Luz/frase36.wav,Wine accompanies meals.
Luz/frase37.wav,Recruitment seeks talent.
Luz/frase38.wav,Bank lends money.
Luz/frase39.wav,I received my salary yesterday.
Luz/frase40.wav,The flight arrived late.
Luz/frase41.wav,Avocado is nutritious.
Luz/frase42.wav,Titanic was a disaster.
Luz/frase43.wav,Humor unites people.
Luz/frase44.wav,Emotions affect decisions.
Luz/frase45.wav,Brain is mysterious.
Luz/frase46.wav,Wine ages well.
Luz/frase47.wav,Recruitment selects personnel.
Luz/frase48.wav,Bank charges interest.
Luz/frase49.wav,My salary is deposited.
Luz/frase50.wav,The flight was smooth.
Luz/frase51.wav,Avocado is green.
Luz/frase52.wav,Titanic is historic.
Luz/frase53.wav,Humor heals the soul.
Luz/frase54.wav,Emotions are varied.
Luz/frase55.wav,Brain needs oxygen.
Luz/frase56.wav,Wine is traditional.
Luz/frase57.wav,Recruitment is crucial.
Luz/frase58.wav,Bank is safe.
Luz/frase59.wav,Annual salary increase.
Luz/frase60.wav,Flight at ten.
Luz/frase61.wav,Avocado is tasty.
Luz/frase62.wav,Titanic sank.
Luz/frase63.wav,Humor alleviates sorrow.
Luz/frase64.wav,Emotions motivate us.
Luz/frase65.wav,Brain is vital.
Luz/frase66.wav,Wine is popular.
Luz/frase67.wav,Recruitment is dynamic.
Luz/frase68.wav,Bank offers services.
Luz/frase69.wav,Salary deposited promptly.
Luz/frase70.wav,Flight is canceled.
Luz/frase71.wav,Avocado is creamy.
Luz/frase72.wav,Titanic inspires movies.
Luz/frase73.wav,Humor is therapeutic.
Luz/frase74.wav,Emotions define us.
Luz/frase75.wav,Brain has neurons.
Luz/frase76.wav,Wine is aromatic.
Luz/frase77.wav,Recruitment is constant.
Luz/frase78.wav,Bank grants loans.
Luz/frase79.wav,My salary went up.
Luz/frase80.wav,The flight is direct.
Luz/frase81.wav,Avocado is healthy.
Luz/frase82.wav,Titanic has history.
Luz/frase83.wav,Humor is vital.
Luz/frase84.wav,Emotions are complex.
Luz/frase85.wav,Brain regulates everything.
Luz/frase86.wav,Wine is elegant.
Luz/frase87.wav,Recruitment is fundamental.
Luz/frase88.wav,Bank stores savings.
Luz/frase89.wav,Salary is monthly.
Luz/frase90.wav,The flight was short.
Luz/frase91.wav,Avocado is soft.
Luz/frase92.wav,Titanic impacted.
Luz/frase93.wav,Humor unites.
Luz/frase94.wav,Emotions are powerful.
Luz/frase95.wav,Brain is incredible.
Luz/frase96.wav,Wine is expensive.
Luz/frase97.wav,Recruitment is essential.
Luz/frase98.wav,Bank offers loans.
Luz/frase99.wav,My salary is sufficient.
Luz/frase100.wav,The flight was canceled.
