name,transcription
Andrik/frase1.wav,El aguacate es delicioso.
Andrik/frase2.wav ,El Titanic fue trágico.
Andrik/frase3.wav ,El humor es esencial.
Andrik/frase4.wav ,Las emociones son intensas.
Andrik/frase5.wav ,El cerebro es complejo.
Andrik/frase6.wav ,Me gusta el vino tinto.
Andrik/frase7.wav ,El reclutamiento es difícil.
Andrik/frase8.wav ,Fui al banco hoy.
Andrik/frase9.wav ,Aumentaron mi salario.
Andrik/frase10.wav,Nuestro vuelo se retrasó.
Andrik/frase11.wav,El aguacate está maduro.
Andrik/frase12.wav,El Titanic se hundió rápido.
Andrik/frase13.wav,El humor alivia el estrés.
Andrik/frase14.wav,Las emociones nos guían.
Andrik/frase15.wav,El cerebro procesa información.
Andrik/frase16.wav,El vino es refinado.
Andrik/frase17.wav,El reclutamiento necesita estrategia.
Andrik/frase18.wav,El banco está cerrado.
Andrik/frase19.wav,Mi salario es justo.
Andrik/frase20.wav,El vuelo fue largo.
Andrik/frase21.wav,El aguacate tiene grasa saludable.
Andrik/frase22.wav,El Titanic era lujoso.
Andrik/frase23.wav,El humor mejora el ánimo.
Andrik/frase24.wav,Las emociones son naturales.
Andrik/frase25.wav,El cerebro controla el cuerpo.
Andrik/frase26.wav,El vino se fermenta.
Andrik/frase27.wav,El reclutamiento requiere tiempo.
Andrik/frase28.wav,Tengo una cuenta en el banco.
Andrik/frase29.wav,Mi salario aumentó este mes.
Andrik/frase30.wav,El vuelo sale temprano.
Andrik/frase31.wav,El aguacate es versátil.
Andrik/frase32.wav,El Titanic tenía muchos pasajeros.
Andrik/frase33.wav,El humor es contagioso.
Andrik/frase34.wav,Las emociones se expresan.
Andrik/frase35.wav,El cerebro necesita descanso.
Andrik/frase36.wav,El vino acompaña comidas.
Andrik/frase37.wav,El reclutamiento busca talento.
Andrik/frase38.wav,El banco presta dinero.
Andrik/frase39.wav,Recibí mi salario ayer.
Andrik/frase40.wav,El vuelo llegó tarde.
Andrik/frase41.wav,El aguacate es nutritivo.
Andrik/frase42.wav,El Titanic fue un desastre.
Andrik/frase43.wav,El humor une a las personas.
Andrik/frase44.wav,Las emociones afectan decisiones.
Andrik/frase45.wav,El cerebro es misterioso.
Andrik/frase46.wav,El vino se envejece bien.
Andrik/frase47.wav,El reclutamiento selecciona personal.
Andrik/frase48.wav,El banco cobra intereses.
Andrik/frase49.wav,Mi salario está depositado.
Andrik/frase50.wav,El vuelo fue tranquilo.
Andrik/frase51.wav,El aguacate es verde.
Andrik/frase52.wav,El Titanic es histórico.
Andrik/frase53.wav,El humor cura el alma.
Andrik/frase54.wav,Las emociones son variadas.
Andrik/frase55.wav,El cerebro necesita oxígeno.
Andrik/frase56.wav,El vino es tradicional.
Andrik/frase57.wav,El reclutamiento es crucial.
Andrik/frase58.wav,El banco es seguro.
Andrik/frase59.wav,Aumento de salario anual.
Andrik/frase60.wav,Vuelo a las diez.
Andrik/frase61.wav,El aguacate es sabroso.
Andrik/frase62.wav,El Titanic naufragó.
Andrik/frase63.wav,El humor alivia penas.
Andrik/frase64.wav,Las emociones nos motivan.
Andrik/frase65.wav,El cerebro es vital.
Andrik/frase66.wav,El vino es popular.
Andrik/frase67.wav,El reclutamiento es dinámico.
Andrik/frase68.wav,El banco ofrece servicios.
Andrik/frase69.wav,Salario depositado puntualmente.
Andrik/frase70.wav,El vuelo se cancela.
Andrik/frase71.wav,El aguacate es cremoso.
Andrik/frase72.wav,El Titanic inspira películas.
Andrik/frase73.wav,El humor es terapéutico.
Andrik/frase74.wav,Las emociones nos definen.
Andrik/frase75.wav,El cerebro tiene neuronas.
Andrik/frase76.wav,El vino es aromático.
Andrik/frase77.wav,El reclutamiento es constante.
Andrik/frase78.wav,El banco otorga créditos.
Andrik/frase79.wav,Mi salario subió.
Andrik/frase80.wav,El vuelo es directo.
Andrik/frase81.wav,El aguacate es saludable.
Andrik/frase82.wav,El Titanic tiene historia.
Andrik/frase83.wav,El humor es vital.
Andrik/frase84.wav,Las emociones son complejas.
Andrik/frase85.wav,El cerebro regula todo.
Andrik/frase86.wav,El vino es elegante.
Andrik/frase87.wav,El reclutamiento es fundamental.
Andrik/frase88.wav,El banco guarda ahorros.
Andrik/frase89.wav,El salario es mensual.
Andrik/frase90.wav,El vuelo fue corto.
Andrik/frase91.wav,El aguacate es suave.
Andrik/frase92.wav,El Titanic impactó.
Andrik/frase93.wav,El humor une.
Andrik/frase94.wav,Las emociones son poderosas.
Andrik/frase95.wav,El cerebro es increíble.
Andrik/frase96.wav,El vino es caro.
Andrik/frase97.wav,El reclutamiento es esencial.
Andrik/frase98.wav,El banco ofrece préstamos.
Andrik/frase99.wav,Mi salario es suficiente.
Andrik/frase100.wav,El vuelo fue cancelado.
